Year,ACERrubr,ACERsacc,Carya sp.,FAGUgran,FRAXamer,JUGLnigr,LIRItuli,Pinus sp.,PRUNsero,QUERalba,QUERprin,QUERrubr,QUERvelu,Other
0,0.32,0.25,0.02,0.00,0.39,0.00,0.34,0.01,0.04,0.04,0.04,0.04,0.04,0.46
10,7.95,2.35,0.20,0.02,3.58,0.08,7.92,0.05,0.42,0.25,0.26,0.30,0.40,1.72
20,12.76,3.11,0.32,0.03,3.68,0.13,12.22,0.08,0.63,0.36,0.41,0.57,0.68,1.19
30,14.90,3.90,0.50,0.05,3.81,0.22,17.90,0.09,0.93,0.46,0.51,0.86,1.01,0.76
40,15.00,4.41,0.78,0.07,3.81,0.34,26.08,0.12,1.37,0.61,0.61,1.30,1.49,0.55
50,13.08,5.08,1.08,0.09,3.73,0.51,34.83,0.17,1.89,0.77,0.70,1.95,2.04,0.38
60,11.53,5.81,1.45,0.12,3.37,0.78,42.83,0.20,2.46,0.96,0.82,2.80,2.72,0.24
70,8.43,6.09,1.63,0.15,3.04,1.02,50.40,0.22,3.11,1.13,0.87,3.87,3.78,0.10
80,5.71,6.45,1.95,0.17,2.85,1.41,55.15,0.29,4.12,1.36,0.99,5.33,5.14,0.06
90,3.17,6.35,2.23,0.23,2.93,1.81,56.86,0.36,5.50,1.57,1.20,6.93,6.65,0.04
100,1.75,6.15,2.82,0.28,2.82,2.05,57.72,0.37,6.84,1.88,1.48,8.43,8.64,0.02
110,0.80,6.67,2.78,0.35,2.80,2.17,55.51,0.44,8.98,2.54,1.82,10.81,11.55,0.02
120,1.10,6.72,2.38,0.43,2.79,2.53,54.09,0.46,11.28,3.32,2.19,12.38,13.54,0.86
130,0.97,6.67,2.27,0.51,2.35,2.98,46.21,0.49,12.18,3.80,2.91,13.98,15.60,1.40
140,1.94,5.21,1.49,0.76,2.42,3.45,41.18,0.48,14.17,4.64,3.82,15.01,16.88,2.25
150,2.12,5.60,1.44,1.02,2.39,2.51,34.63,0.55,13.61,5.74,4.36,17.60,18.09,2.08
160,3.08,5.07,1.22,1.24,2.12,0.94,31.64,0.68,14.12,6.45,5.40,20.11,20.06,2.44
170,3.39,5.44,1.45,1.32,2.15,1.06,28.36,0.79,14.54,7.94,5.92,23.21,21.89,1.98
180,4.27,5.97,1.67,1.60,1.70,1.18,30.09,0.77,15.18,9.31,6.55,25.09,24.25,1.28
190,3.57,6.26,2.05,1.73,1.69,1.27,28.00,0.85,13.81,9.22,7.08,25.17,24.94,1.44
200,4.05,3.82,2.35,2.06,1.45,1.42,29.21,0.90,14.43,9.64,7.83,24.76,22.46,1.60
210,4.74,4.61,0.63,2.30,1.83,1.43,23.13,0.58,13.77,10.18,8.68,26.20,21.08,1.70
220,6.47,5.72,0.92,2.77,2.14,1.55,24.12,0.67,13.73,11.18,8.49,27.42,23.43,1.43
230,6.05,5.42,1.46,3.32,1.19,1.68,23.29,0.85,11.85,12.25,8.65,26.88,21.58,1.60
240,6.91,5.77,1.54,3.22,1.19,1.84,24.49,0.87,10.70,13.03,8.49,28.20,23.04,1.54
250,6.87,6.17,1.70,3.90,0.94,1.99,21.70,1.03,10.69,13.27,8.29,29.45,24.47,1.23
260,6.95,5.60,2.14,4.17,0.88,2.20,21.52,1.31,11.09,12.25,6.69,32.01,23.10,1.49
270,5.99,5.25,2.36,4.50,0.91,2.38,23.45,1.31,10.96,13.78,7.44,34.67,21.30,1.26
280,6.47,5.31,2.04,5.31,0.98,2.49,26.52,1.06,12.00,14.86,5.99,36.65,18.95,1.41
290,7.61,5.73,2.38,5.65,1.15,2.62,23.93,1.22,12.03,15.57,5.87,37.03,19.57,1.26
300,8.82,4.86,2.25,6.45,0.98,1.53,21.08,1.46,10.84,16.66,6.41,39.03,19.15,1.56
310,9.96,4.99,2.10,6.77,1.14,1.52,21.52,1.60,8.13,18.04,5.40,42.42,21.24,1.45
320,9.12,3.85,2.34,6.46,0.47,0.00,21.87,1.81,6.84,16.08,6.13,44.54,21.49,1.62
330,8.68,2.85,2.65,6.61,0.64,0.00,23.76,2.06,7.97,17.34,6.85,45.64,20.54,1.68
340,9.81,3.54,3.01,7.36,0.46,0.00,21.78,2.22,7.87,17.80,6.83,46.22,21.84,1.46
350,10.70,3.58,3.47,8.21,0.60,0.00,19.54,2.17,7.28,18.61,5.92,46.36,22.43,1.56
360,11.20,3.55,3.12,8.34,0.58,0.00,19.87,2.58,7.56,16.05,4.82,45.74,22.81,1.53
370,11.25,2.96,3.37,7.92,0.33,0.00,23.03,3.14,8.60,16.72,5.16,44.66,23.20,1.56
380,10.97,2.74,3.22,8.77,0.39,0.00,24.33,3.37,8.67,16.16,5.74,48.23,24.74,1.49
390,9.73,2.30,3.33,10.14,0.37,0.00,18.36,3.49,8.57,16.63,5.88,49.56,24.56,1.47
400,11.97,2.52,1.94,10.87,0.47,0.00,18.30,3.96,9.39,13.96,6.18,48.66,25.13,1.60
410,11.88,2.44,1.85,11.42,0.65,0.00,18.59,4.54,9.17,13.41,6.23,42.61,25.25,1.75
420,13.17,2.40,1.82,11.80,0.37,0.00,20.78,4.93,8.78,13.98,6.08,41.55,24.64,1.49
430,13.02,3.04,2.43,12.51,0.25,0.00,20.87,5.18,8.46,14.53,6.80,41.72,18.98,1.52
440,15.22,3.22,3.40,12.54,0.31,0.00,21.16,5.14,6.98,14.69,4.78,41.90,17.58,1.74
450,15.50,2.97,4.40,13.39,0.09,0.00,19.93,5.58,6.23,13.92,3.74,38.87,16.30,1.86
460,17.43,3.31,4.47,14.09,0.09,0.00,21.48,5.49,6.61,14.80,4.40,41.47,13.60,1.47
470,18.78,3.88,5.31,16.01,0.12,0.00,24.68,5.67,5.66,15.74,4.56,41.17,15.26,1.30
480,18.14,3.50,5.74,17.38,0.12,0.00,23.28,5.32,1.69,13.69,4.82,45.19,16.25,1.22
490,19.02,3.96,7.10,17.48,0.15,0.00,22.01,5.05,1.87,14.64,5.61,45.25,18.35,1.29
500,17.61,3.78,7.25,18.97,0.09,0.00,17.27,5.55,2.14,15.11,5.52,47.60,19.52,1.08
